#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Staphylococcus phage phiETA2	326036	PRJNA18669	18669	dsDNA viruses, no RNA stage	Siphoviridae	43.265	34.3	bacteria	1	69	69	2007/01/06	2008/12/03	Complete Genome
Staphylococcus phage phiETA3	326037	PRJNA18671	18671	dsDNA viruses, no RNA stage	Siphoviridae	43.282	34.9	bacteria	1	68	68	2007/01/06	2008/12/03	Complete Genome
Narcissus degeneration virus	394036	PRJNA18729	18729	ssRNA viruses	Potyviridae	9.816	40.9	plants	1	2	2	2007/01/23	2015/02/10	Complete Genome
Glypta fumiferanae ichnovirus	419435	PRJNA18767	18767	dsDNA viruses, no RNA stage	Polydnaviridae	291.597	36.6847	invertebrates	105	103	103	2007/01/30	2008/07/10	Complete Genome
Hyposoter fugitivus ichnovirus	265522	PRJNA18779	18779	dsDNA viruses, no RNA stage	Polydnaviridae	246.092	43.1599	invertebrates	56	135	143	2004/03/15	2008/07/25	Complete Genome
Spodoptera frugiperda multiple nucleopolyhedrovirus	10455	PRJNA18827	18827	dsDNA viruses, no RNA stage	Baculoviridae	131.331	40.2	invertebrates	1	143	143	2007/01/10	2011/04/15	Complete Genome
Dioscorea bacilliform virus	52996	PRJNA18829	18829	Retro-transcribing viruses	Caulimoviridae	7.261	43.1	plants	1	3	3	2007/02/01	2008/12/08	Complete Genome
Erwinia amylovora phage Era103	418443	PRJNA18839	18839	dsDNA viruses, no RNA stage	Podoviridae	45.445	49.8	bacteria	1	53	53	2007/01/15	2009/04/17	Complete Genome
Kokobera virus	44024	PRJNA18843	18843	ssRNA viruses	Flaviviridae	10.874	49.8	vertebrates, invertebrates, human	1	1	1	2005/10/30	2013/12/04	Complete Genome
Ilheus virus	59563	PRJNA18845	18845	ssRNA viruses	Flaviviridae	10.755	52.3	vertebrates, invertebrates, human	1	1	1	2005/10/30	2010/04/15	Complete Genome
Aroa virus	64303	PRJNA18847	18847	ssRNA viruses	Flaviviridae	10.815	49.9	vertebrates, invertebrates, human	1	1	1	2005/10/30	2009/08/14	Complete Genome
Vibrio phage VP882	261726	PRJNA18851	18851	dsDNA viruses, no RNA stage	Myoviridae	38.197	57	bacteria	1	71	71	2007/01/24	2010/03/26	Complete Genome
Nootka lupine vein clearing virus	283876	PRJNA18853	18853	ssRNA viruses	Tombusviridae	4.172	49.1	plants	1	5	5	2007/01/31	2010/03/11	Complete Genome
Israeli acute paralysis virus	294365	PRJNA18855	18855	ssRNA viruses	Dicistroviridae	9.499	37.9	invertebrates	1	3	3	2007/02/11	2012/09/04	Complete Genome
Burkholderia phage BcepF1	417280	PRJNA18857	18857	dsDNA viruses, no RNA stage	Myoviridae	72.415	55.9	bacteria	1	127	127	2006/12/26	2007/02/22	Complete Genome
Streptococcus phage phi3396	423476	PRJNA18859	18859	dsDNA viruses, no RNA stage	Siphoviridae	38.528	37.5	bacteria	1	64	64	2007/02/07	2007/03/26	Complete Genome
Tomato leaf curl Arusha virus	392761	PRJNA18861	18861	ssDNA viruses	Geminiviridae	2.762	42.9	plants	1	6	6	2007/01/24	2010/01/28	Complete Genome
Tylonycteris bat coronavirus HKU4	694007	PRJNA18863	18863	ssRNA viruses	Coronaviridae	30.286	37.8	vertebrates	1	9	9	2007/02/07	2016/03/28	Complete Genome
Pipistrellus bat coronavirus HKU5	694008	PRJNA18865	18865	ssRNA viruses	Coronaviridae	30.482	43.2	vertebrates	1	9	9	2007/02/07	2016/03/28	Complete Genome
Rousettus bat coronavirus HKU9	694006	PRJNA18867	18867	ssRNA viruses	Coronaviridae	29.114	41	vertebrates	1	8	8	2007/02/07	2008/12/08	Complete Genome
Tomato leaf curl Seychelles virus	425303	PRJNA18869	18869	ssDNA viruses	Geminiviridae	2.742	43.9	plants	1	3	3	2007/02/10	2010/01/28	Complete Genome
Rehmannia mosaic virus	425279	PRJNA18885	18885	ssRNA viruses	Virgaviridae	6.395	43.1	plants	1	4	4	2007/02/21	2008/03/13	Complete Genome
Mesta yellow vein mosaic virus	360579	PRJNA18967	18967	ssDNA viruses	Geminiviridae	2.728	43.8	plants	1	6	6	2007/02/18	2010/01/28	Complete Genome
Chrysanthemum virus B	12165	PRJNA18985	18985	ssRNA viruses	Betaflexiviridae	8.855	45.4	plants	1	6	6	2007/02/27	2012/07/20	Complete Genome
Cyprinid herpesvirus 3	180230	PRJNA19059	19059	dsDNA viruses, no RNA stage	Alloherpesviridae	295.146	59.2	vertebrates	1	163	163	2007/03/09	2012/03/19	Complete Genome
Torque teno midi virus 1	687379	PRJNA19131	19131	ssDNA viruses	Anelloviridae	3.245	42.6	vertebrates, human	1	4	4	2007/03/23	2010/04/28	Complete Genome
Botryotinia fuckeliana totivirus 1	425009	PRJNA19133	19133	dsRNA viruses	Totiviridae	5.261	54.7	fungi	1	2	2	2007/03/21	2007/03/27	Complete Genome
Rice gall dwarf virus	10986	PRJNA19149	19149	dsRNA viruses	Reoviridae	25.709	40.0063	invertebrates, plants	12	12	12	1993/04/29	2015/10/29	Complete Genome
Heliothis virescens ascovirus 3e	260797	PRJNA19151	19151	dsDNA viruses, no RNA stage	Ascoviridae	186.262	45.9	invertebrates	1	180	180	2007/03/27	2008/08/28	Complete Genome
Clostridium phage phiC2	262071	PRJNA19153	19153	dsDNA viruses, no RNA stage	Myoviridae	56.538	28.7	bacteria	1	82	82	2007/03/03	2007/11/21	Complete Genome
KI polyomavirus	423445	PRJNA19155	19155	dsDNA viruses, no RNA stage	Polyomaviridae	5.04	39.4	vertebrates, human	1	5	5	2007/02/28	2010/03/26	Complete Genome
Salmonella phage SETP3	424944	PRJNA19157	19157	dsDNA viruses, no RNA stage	Siphoviridae	42.572	49.9	bacteria	1	63	63	2007/02/17	2013/12/06	Complete Genome
Gryllus bimaculatus nudivirus	432587	PRJNA19181	19181	dsDNA viruses, no RNA stage	Nudiviridae	96.944	28	invertebrates	1	98	98	2007/03/27	2007/06/18	Complete Genome
Sida yellow vein Madurai virus	420255	PRJNA19405	19405	ssDNA viruses	Geminiviridae	2.753	46	plants	1	6	6	2006/06/19	2011/02/04	Complete Genome
Phlox virus S	436066	PRJNA19427	19427	ssRNA viruses	Betaflexiviridae	8.59	43.9	plants	1	6	6	2007/04/17	2007/04/25	Complete Genome
Ralstonia phage RSA1	406340	PRJNA19481	19481	dsDNA viruses, no RNA stage	Myoviridae	38.76	65.3	bacteria	1	51	51	2007/04/03	2010/03/26	Complete Genome
Woolly monkey sarcoma virus	11970	PRJNA19547	19547	Retro-transcribing viruses	Retroviridae	5.159	55.1	vertebrates	1	6	6	1983/07/13	2011/03/09	Complete Genome
Burkholderia phage BcepGomr	437329	PRJNA19579	19579	dsDNA viruses, no RNA stage	Siphoviridae	52.414	56.3	bacteria	1	75	75	2007/04/23	2010/03/26	Complete Genome
Clerodendron yellow mosaic virus	326811	PRJNA19599	19599	ssDNA viruses	Geminiviridae	2.76	43.7	plants	1	6	6	2007/04/23	2010/01/28	Complete Genome
Honeysuckle yellow vein beta-[Japan:Fukui:2001]	435486	PRJNA19601	19601	Satellites	unclassified	1.336	39.7	plants	1	1	1	2007/03/21	2011/03/10	Complete Genome
Honeysuckle yellow vein Japan betasatellite	435488	PRJNA19603	19603	Satellites	unclassified	1.35	40.5	plants	1	1	1	2007/03/21	2016/03/24	Complete Genome
Mapuera virus	43140	PRJNA19651	19651	ssRNA viruses	Paramyxoviridae	15.486	44.7	vertebrates, human	1	6	9	2007/05/15	2009/04/08	Complete Genome
Spodoptera litura granulovirus	359919	PRJNA19695	19695	dsDNA viruses, no RNA stage	Baculoviridae	124.121	38.8	invertebrates	1	136	136	2005/12/07	2010/01/07	Complete Genome
Enterobacteria phage cdtI	414970	PRJNA19737	19737	dsDNA viruses, no RNA stage	Siphoviridae	47.021	49.1	bacteria	1	60	60	2007/06/01	2008/12/02	Complete Genome
Fragaria chiloensis cryptic virus	335204	PRJNA19741	19741	dsRNA viruses	Partitiviridae	4.678	42.9578	plants	3	3	3	2005/07/16	2008/02/08	Complete Genome
Citrus variegation virus	37127	PRJNA19747	19747	ssRNA viruses	Bromoviridae	8.656	43.2462	plants	3	5	5	1995/04/05	2012/06/06	Complete Genome
Staphylococcus phage 80alpha	53369	PRJNA19749	19749	dsDNA viruses, no RNA stage	Siphoviridae	43.864	34.1	bacteria	1	73	73	2007/04/26	2011/02/04	Complete Genome
Brevicoryne brassicae picorna-like virus	436447	PRJNA19753	19753	ssRNA viruses	Iflaviridae	10.18	33.6	invertebrates	1	1	1	2007/04/22	2011/07/20	Complete Genome
Maize white line mosaic virus	445227	PRJNA19755	19755	ssRNA viruses	Tombusviridae	4.293	54.3	plants	1	5	5	2007/06/04	2011/12/30	Complete Genome
European bat lyssavirus 1	57482	PRJNA19757	19757	ssRNA viruses	Rhabdoviridae	11.966	44.6	vertebrates, human	1	5	5	2007/04/02	2008/12/08	Complete Genome
Okra mosaic virus	70822	PRJNA19761	19761	ssRNA viruses	Tymoviridae	6.223	59.7	invertebrates, plants	1	3	3	2007/05/22	2008/03/07	Complete Genome
Synechococcus phage Syn5	438482	PRJNA19763	19763	dsDNA viruses, no RNA stage	Podoviridae	46.214	55	bacteria	1	61	61	2007/04/28	2009/04/17	Complete Genome
WU Polyomavirus	440266	PRJNA19765	19765	dsDNA viruses, no RNA stage	Polyomaviridae	5.229	39.2	vertebrates, human	1	5	5	2007/05/07	2010/03/26	Complete Genome
Propionibacterium phage PA6	376758	PRJNA19767	19767	dsDNA viruses, no RNA stage	Siphoviridae	29.739	54	bacteria	1	48	48	2007/04/01	2007/11/21	Complete Genome
Aeromonas phage phiO18P	393598	PRJNA19769	19769	dsDNA viruses, no RNA stage	Myoviridae	33.985	61.7	bacteria	1	45	45	2007/05/31	2010/03/26	Complete Genome
Xanthomonas phage Xop411	470314	PRJNA19771	19771	dsDNA viruses, no RNA stage	Siphoviridae	44.52	51.9	bacteria	1	58	58	2007/05/07	2009/04/17	Complete Genome
Solenopsis invicta virus 2	439491	PRJNA19773	19773	ssRNA viruses	unclassified	11.319	43.1	invertebrates	1	4	4	2007/05/07	2007/08/20	Complete Genome
Escherichia phage Tls	245685	PRJNA19775	19775	dsDNA viruses, no RNA stage	Siphoviridae	49.902	42.7	bacteria	1	87	87	2007/05/30	2008/12/10	Complete Genome
Lindernia anagallis yellow vein virus	300411	PRJNA19777	19777	ssDNA viruses	Geminiviridae	2.74	43.6	plants	1	6	6	2007/05/01	2010/01/28	Complete Genome
Spilanthes yellow vein virus	390439	PRJNA19779	19779	ssDNA viruses	Geminiviridae	2.761	42.3	plants	1	6	6	2007/05/01	2010/01/28	Complete Genome
Mimosa yellow leaf curl virus	390440	PRJNA19781	19781	ssDNA viruses	Geminiviridae	2.757	42.9	plants	1	6	6	2007/05/01	2010/01/28	Complete Genome
Sida yellow vein Vietnam virus	390441	PRJNA19783	19783	ssDNA viruses	Geminiviridae	2.753	45.4	plants	1	6	6	2007/05/01	2010/01/28	Complete Genome
Tomato yellow leaf curl Vietnam virus	390442	PRJNA19785	19785	ssDNA viruses	Geminiviridae	2.745	42.3	plants	1	6	6	2007/05/01	2010/01/28	Complete Genome
Erectites yellow mosaic virus	390443	PRJNA19787	19787	ssDNA viruses	Geminiviridae	2.751	42.9	plants	1	6	6	2007/05/01	2010/01/28	Complete Genome
Geobacillus virus E2	447909	PRJNA19797	19797	unclassified phages	unclassified	40.863	44.8	bacteria	1	71	71	2007/06/01	2008/08/22	Complete Genome
Tobacco leaf curl Thailand virus	409287	PRJNA19799	19799	ssDNA viruses	Geminiviridae	2.752	41.8	plants	1	7	7	2007/04/30	2011/07/20	Complete Genome
Phormidium phage Pf-WMP3	440250	PRJNA19801	19801	dsDNA viruses, no RNA stage	Podoviridae	43.249	46.5	bacteria	1	41	41	2007/05/08	2011/06/14	Complete Genome
Lactobacillus phage LL-H	12348	PRJNA19803	19803	dsDNA viruses, no RNA stage	Siphoviridae	34.659	47.8	bacteria	1	51	51	2007/03/31	2010/03/11	Complete Genome
Sida yellow vein Vietnam alphasatellite	447597	PRJNA19815	19815	Satellites	unclassified	1.372	42.4	plants	1	1	1	2007/05/01	2007/12/21	Complete Genome
Mimosa yellow leaf curl virus-associated DNA 1	447598	PRJNA19817	19817	Satellites	unclassified	1.378	43.9	plants	1	1	1	2007/05/01	2010/12/21	Complete Genome
Papaya leaf curl China betasatellite	447599	PRJNA19819	19819	Satellites	unclassified	1.322	35.5	plants	1	1	1	2007/05/01	2007/12/21	Complete Genome
Mimosa yellow leaf curl virus satellite DNA beta	447600	PRJNA19821	19821	Satellites	unclassified	1.358	44.1	plants	1	1	1	2007/05/01	2007/12/21	Complete Genome
Sida leaf curl virus satellite DNA beta	447601	PRJNA19823	19823	Satellites	unclassified	1.367	43	plants	1	1	1	2007/05/01	2007/12/21	Complete Genome
Sida yellow vein Vietnam virus satellite DNA beta	447602	PRJNA19825	19825	Satellites	unclassified	1.34	44.8	plants	1	1	1	2007/05/01	2007/12/21	Complete Genome
Erectites yellow mosaic virus satellite DNA beta	447603	PRJNA19827	19827	Satellites	unclassified	1.342	39.5	plants	1	1	1	2007/05/01	2007/12/21	Complete Genome
Tomato yellow leaf curl Vietnam betasatellite	447604	PRJNA19829	19829	Satellites	unclassified	1.356	36.2	plants	1	1	1	2007/05/01	2008/12/08	Complete Genome
Lindernia anagallis yellow vein virus satellite DNA beta	447605	PRJNA19831	19831	Satellites	unclassified	1.346	39	plants	1	1	1	2007/05/01	2007/12/21	Complete Genome
Alternanthera yellow vein betasatellite	447606	PRJNA19833	19833	Satellites	unclassified	1.344	33.6	plants	1	1	1	2007/05/01	2007/12/21	Complete Genome
Honeysuckle yellow vein mosaic disease associated satellite DNA beta	417192	PRJNA19863	19863	Satellites	unclassified	1.346	37.7	plants	1	1	1	2007/06/13	2015/02/10	Complete Genome
Tomato leaf curl Philippine betasatellite	447325	PRJNA19865	19865	Satellites	unclassified	1.349	38.8	plants	1	1	1	2007/06/12	2011/02/16	Complete Genome
Microbacterium phage Min1	446529	PRJNA19961	19961	dsDNA viruses, no RNA stage	Siphoviridae	46.365	68.3	bacteria	1	77	77	2007/06/17	2008/12/10	Complete Genome
Burkholderia phage BcepNY3	446807	PRJNA19963	19963	dsDNA viruses, no RNA stage	Myoviridae	47.382	63.6	bacteria	1	70	70	2007/06/17	2009/04/17	Complete Genome
Orchid fleck virus	152177	PRJNA19969	19969	ssRNA viruses	unclassified	12.414	47.21	plants	2	6	6	2006/04/28	2014/03/18	Complete Genome
Tomato leaf curl Sinaloa virus	71186	PRJNA19971	19971	ssDNA viruses	Geminiviridae	5.173	42.9152	plants	2	7	7	2004/09/24	2010/01/28	Complete Genome
Tomato severe rugose virus	158463	PRJNA19973	19973	ssDNA viruses	Geminiviridae	5.164	40.9613	plants	2	7	7	2005/10/10	2008/04/04	Complete Genome
Corchorus golden mosaic virus	390436	PRJNA20051	20051	ssDNA viruses	Geminiviridae	5.326	41.3037	plants	2	7	7	2007/05/01	2015/10/20	Complete Genome
Kudzu mosaic virus	390437	PRJNA20053	20053	ssDNA viruses	Geminiviridae	5.403	43.2218	plants	2	8	8	2007/05/01	2015/10/20	Complete Genome
Porcine rubulavirus	53179	PRJNA20055	20055	ssRNA viruses	Paramyxoviridae	15.18	46.7	vertebrates, human	1	6	9	2007/06/29	2007/07/24	Complete Genome
Actinomyces phage Av-1	338473	PRJNA20057	20057	dsDNA viruses, no RNA stage	Podoviridae	17.171	49.5	bacteria	1	23	22	2005/08/03	2009/04/17	Complete Genome
Bell pepper mottle virus	368735	PRJNA20059	20059	ssRNA viruses	Virgaviridae	6.375	42.9	plants	1	5	5	2007/07/03	2015/02/10	Complete Genome
Scotophilus bat coronavirus 512	693999	PRJNA20135	20135	ssRNA viruses	Coronaviridae	28.203	40.1	vertebrates	1	6	6	2006/07/19	2012/11/27	Complete Genome
Okra leaf curl Mali virus satellite DNA beta	454128	PRJNA20323	20323	Satellites	unclassified	1.346	38.3	plants	1	1	1	2007/07/23	2016/03/28	Complete Genome
Bacillus virus 1	396034	PRJNA20397	20397	dsDNA viruses, no RNA stage	unclassified	35.055	44.8	bacteria	1	54	54	2007/07/01	2008/07/02	Complete Genome
Banana bract mosaic virus	45661	PRJNA20617	20617	ssRNA viruses	Potyviridae	9.711	41.5	plants	1	2	2	2007/06/30	2015/02/10	Complete Genome
Basella rugose mosaic virus	373398	PRJNA20619	20619	ssRNA viruses	Potyviridae	9.804	41.5	plants	1	2	2	2007/07/01	2015/02/10	Complete Genome
Telosma mosaic virus	400394	PRJNA20621	20621	ssRNA viruses	Potyviridae	9.689	41	plants	1	2	2	2007/06/30	2015/02/10	Complete Genome
Wild tomato mosaic virus	400396	PRJNA20625	20625	ssRNA viruses	Potyviridae	9.659	40.8	plants	1	2	2	2007/06/30	2015/02/10	Complete Genome
Bacillus phage 0305phi8-36	458639	PRJNA20653	20653	dsDNA viruses, no RNA stage	Myoviridae	218.948	41.8	bacteria	1	246	246	2007/08/07	2007/12/20	Complete Genome
Potato Virus P	329164	PRJNA20657	20657	ssRNA viruses	Betaflexiviridae	8.404	46.9	plants	1	6	6	2007/08/07	2015/02/10	Complete Genome
Coleus vein necrosis virus	404404	PRJNA20665	20665	ssRNA viruses	Betaflexiviridae	8.727	47.1	plants	1	6	6	2007/08/14	2008/02/08	Complete Genome
Wheat eqlid mosaic virus	460364	PRJNA20763	20763	ssRNA viruses	Potyviridae	9.636	43.8	plants	1	1	1	2007/09/11	2015/02/10	Complete Genome
Thermus phage P2345	466051	PRJNA20765	20765	dsDNA viruses, no RNA stage	Siphoviridae	84.201	57.8	bacteria	1	117	117	2007/09/10	2009/04/17	Complete Genome
Thermus phage P7426	466052	PRJNA20767	20767	dsDNA viruses, no RNA stage	Siphoviridae	83.319	57.8	bacteria	1	116	116	2007/09/10	2009/04/17	Complete Genome
Corynebacterium phage P1201	384848	PRJNA20781	20781	dsDNA viruses, no RNA stage	Siphoviridae	70.579	50.9	bacteria	1	101	97	2007/07/31	2008/09/04	Complete Genome
Lactococcus phage KSY1	388452	PRJNA20783	20783	dsDNA viruses, no RNA stage	Podoviridae	79.232	35.1	bacteria	1	131	130	2007/06/24	2009/04/17	Complete Genome
Streptococcus phage P9	403905	PRJNA20785	20785	dsDNA viruses, no RNA stage	Siphoviridae	40.539	39.7	bacteria	1	53	53	2007/07/31	2009/04/17	Complete Genome
Mycobacterium phage Tweety	439809	PRJNA20787	20787	dsDNA viruses, no RNA stage	Siphoviridae	58.692	61.7	bacteria	1	109	109	2007/06/09	2009/04/17	Complete Genome
Listeria phage A500	40522	PRJNA20791	20791	dsDNA viruses, no RNA stage	Siphoviridae	38.867	36.7	bacteria	1	63	63	2007/09/05	2009/11/23	Complete Genome
Listeria phage A511	40523	PRJNA20793	20793	dsDNA viruses, no RNA stage	Myoviridae	137.619	35.9	bacteria	1	206	190	2007/09/05	2013/03/18	Complete Genome
Listeria phage B025	330396	PRJNA20795	20795	dsDNA viruses, no RNA stage	Siphoviridae	42.653	35.1	bacteria	1	65	65	2007/09/05	2009/11/23	Complete Genome
Listeria phage B054	330397	PRJNA20797	20797	dsDNA viruses, no RNA stage	Siphoviridae	48.172	36.2	bacteria	1	80	80	2007/09/05	2009/11/23	Complete Genome
Listeria phage P35	330398	PRJNA20799	20799	dsDNA viruses, no RNA stage	Siphoviridae	35.822	40.8	bacteria	1	56	56	2007/09/05	2009/11/23	Complete Genome
Listeria phage A006	330399	PRJNA20801	20801	dsDNA viruses, no RNA stage	Siphoviridae	38.124	35.5	bacteria	1	62	62	2007/09/05	2009/11/23	Complete Genome
Staphylococcus phage SAP-2	470865	PRJNA20925	20925	dsDNA viruses, no RNA stage	Podoviridae	17.938	28.9	bacteria	1	20	20	2007/09/23	2010/04/22	Complete Genome
Mycobacterium phage U2	260120	PRJNA20943	20943	dsDNA viruses, no RNA stage	Siphoviridae	51.277	63.7	bacteria	1	81	81	2004/01/13	2011/11/29	Complete Genome
Mycobacterium phage Bethlehem	260121	PRJNA20945	20945	dsDNA viruses, no RNA stage	Siphoviridae	52.25	63.2	bacteria	1	87	87	2004/01/13	2009/04/17	Complete Genome
Pseudomonas phage MP22	397353	PRJNA20961	20961	dsDNA viruses, no RNA stage	Siphoviridae	36.409	64.2	bacteria	1	51	51	2007/08/31	2012/11/26	Complete Genome
Acidianus filamentous virus 2	300186	PRJNA20965	20965	dsDNA viruses, no RNA stage	Lipothrixviridae	31.787	35.7	archaea	1	53	52	2005/04/01	2010/03/26	Complete Genome
Akabane virus	70566	PRJNA20971	20971	ssRNA viruses	Bunyaviridae	12.035	36.901	vertebrates, invertebrates, human	3	4	4	1998/01/09	2007/10/05	Complete Genome
Black raspberry virus F	463392	PRJNA20975	20975	dsRNA viruses	Totiviridae	5.077	45.5	fungi	1	2	2	2007/08/27	2008/02/21	Complete Genome
Peach chlorotic mottle virus	471498	PRJNA20977	20977	ssRNA viruses	Betaflexiviridae	9.005	43.8	plants	1	5	5	2007/09/27	2011/07/20	Complete Genome
RD114 retrovirus	11834	PRJNA20979	20979	Retro-transcribing viruses	Retroviridae	8.406	52.2	vertebrates	1	2	2	2007/08/05	2007/10/05	Complete Genome
Tomato yellow dwarf disease associated satellite DNA beta-[Kochi]	427315	PRJNA20983	20983	Satellites	unclassified	1.356	39.6	plants	1	1	1	2007/08/22	2009/01/22	Complete Genome
Seal picornavirus type 1	471728	PRJNA20985	20985	ssRNA viruses	Picornaviridae	6.718	43.7	vertebrates	1	1	1	2007/09/29	2007/12/21	Complete Genome
Paramecium bursaria Chlorella virus NY2A	46021	PRJNA20989	20989	dsDNA viruses, no RNA stage	Phycodnaviridae	368.683	40.7	algae	1	886	886	2006/05/02	2010/04/21	Complete Genome
Paramecium bursaria Chlorella virus AR158	380598	PRJNA20991	20991	dsDNA viruses, no RNA stage	Phycodnaviridae	344.691	40.8	algae	1	814	814	2006/05/02	2007/12/13	Complete Genome
Mesta yellow vein mosaic virus-associated DNA beta	360580	PRJNA21015	21015	Satellites	unclassified	1.354	41.3	plants	1	1	1	2005/12/14	2012/11/01	Complete Genome
Paralichthys olivaceus birnavirus	475879	PRJNA21035	21035	dsRNA viruses	Birnaviridae	5.871	53.4791	vertebrates	2	3	3	2007/10/14	2015/10/20	Complete Genome
Pseudomonas phage LKD16	386792	PRJNA21043	21043	dsDNA viruses, no RNA stage	Podoviridae	43.2	62.3	bacteria	1	53	53	2006/09/18	2009/04/17	Complete Genome
Pseudomonas phage LKA1	386793	PRJNA21045	21045	dsDNA viruses, no RNA stage	Podoviridae	41.593	60.9	bacteria	1	57	57	2006/09/18	2016/01/13	Complete Genome
Amasya cherry disease associated chrysovirus	284687	PRJNA21113	21113	dsRNA viruses	Chrysoviridae	11.858	45.7437	fungi	4	4	4	2004/09/10	2008/12/08	Complete Genome
Squirrel monkey polyomavirus	452475	PRJNA27775	27775	dsDNA viruses, no RNA stage	Polyomaviridae	5.075	37.9	vertebrates	1	6	6	2007/10/30	2011/02/04	Complete Genome
Acidianus rod-shaped virus 1	309181	PRJNA27799	27799	dsDNA viruses, no RNA stage	Rudiviridae	24.655	39.1	archaea	1	41	41	2005/05/10	2010/03/26	Complete Genome
Spiroplasma kunkelii virus SkV1_CR2-3x	455649	PRJNA27891	27891	ssDNA viruses	Inoviridae	7.87	22.2	bacteria	1	13	13	2007/11/01	2010/01/28	Complete Genome
Sulfolobus spindle-shaped virus 4	459290	PRJNA27893	27893	dsDNA viruses, no RNA stage	Fuselloviridae	15.135	38.5	archaea	1	34	34	2007/10/23	2010/03/29	Complete Genome
Tobacco vein banding mosaic virus	33765	PRJNA27895	27895	ssRNA viruses	Potyviridae	9.57	41.8	plants	1	2	2	2007/11/03	2015/02/10	Complete Genome
Moroccan watermelon mosaic virus	167129	PRJNA27897	27897	ssRNA viruses	Potyviridae	9.73	42	plants	1	2	2	2007/10/24	2015/02/10	Complete Genome
Snake adenovirus 1	189830	PRJNA27899	27899	dsDNA viruses, no RNA stage	Adenoviridae	27.751	50.2	vertebrates	1	28	28	2007/11/09	2012/03/09	Complete Genome
Thalassomonas phage BA3	469660	PRJNA27903	27903	dsDNA viruses, no RNA stage	Podoviridae	37.313	40.9	bacteria	1	47	47	2007/10/07	2010/03/26	Complete Genome
Phlox Virus B	475777	PRJNA27905	27905	ssRNA viruses	Betaflexiviridae	9.058	45.2	plants	1	6	6	2007/10/10	2007/11/28	Complete Genome
Mycobacterium phage Giles	480808	PRJNA27907	27907	dsDNA viruses, no RNA stage	Siphoviridae	53.746	67.4	bacteria	1	78	77	2007/11/10	2012/12/18	Complete Genome
Plum bark necrosis stem pitting-associated virus	675077	PRJNA27909	27909	ssRNA viruses	Closteroviridae	14.214	41.6	plants	1	6	7	2007/11/03	2007/12/21	Complete Genome
Rhinolophus bat coronavirus HKU2	693998	PRJNA27911	27911	ssRNA viruses	Coronaviridae	27.165	39.3	vertebrates	1	8	8	2007/10/09	2008/12/08	Complete Genome
Enterobacteria phage phiEcoM-GJ1	451705	PRJNA27979	27979	dsDNA viruses, no RNA stage	Myoviridae	52.975	44	bacteria	1	76	75	2007/11/30	2008/01/18	Complete Genome
Enterobacteria phage JS98	293178	PRJNA27983	27983	dsDNA viruses, no RNA stage	Myoviridae	170.523	39.5	bacteria	1	269	266	2007/11/14	2010/03/26	Complete Genome
Bandicoot papillomatosis carcinomatosis virus type 1	479058	PRJNA27985	27985	dsDNA viruses, no RNA stage	Papillomaviridae	7.295	37.4	vertebrates	1	3	3	2007/11/29	2010/03/26	Complete Genome
Tomato yellow leaf curl betasatellite	391090	PRJNA28045	28045	Satellites	unclassified	1.371	39	plants	1	1	1	2007/12/04	2011/07/27	Complete Genome
Pseudomonas phage YuA	462590	PRJNA28053	28053	dsDNA viruses, no RNA stage	Siphoviridae	58.663	64.3	bacteria	1	77	77	2007/12/01	2011/01/06	Complete Genome
Staphylococcus phage phiMR11	379501	PRJNA28065	28065	dsDNA viruses, no RNA stage	Siphoviridae	43.011	35.6	bacteria	1	67	67	2007/12/07	2008/12/03	Complete Genome
Tomato leaf curl Bangalore virus-[Ban5] satellite DNA beta	486898	PRJNA28067	28067	Satellites	unclassified	1.361	37.3	plants	1	1	1	2007/12/08	2007/12/12	Complete Genome
Acidianus filamentous virus 6	346882	PRJNA28075	28075	dsDNA viruses, no RNA stage	Lipothrixviridae	39.577	36.9	archaea	1	66	66	2007/09/16	2010/03/26	Complete Genome
Acidianus filamentous virus 7	346883	PRJNA28077	28077	dsDNA viruses, no RNA stage	Lipothrixviridae	36.895	38	archaea	1	57	57	2007/09/16	2010/03/26	Complete Genome
Acidianus filamentous virus 8	346884	PRJNA28079	28079	dsDNA viruses, no RNA stage	Lipothrixviridae	38.179	36.8	archaea	1	61	61	2007/09/16	2010/03/26	Complete Genome
Lactobacillus prophage Lj771	139871	PRJNA28145	28145	unclassified phages	unclassified	40.881	36.4	bacteria	1	56	56	2001/04/01	2008/03/13	Complete Genome
Pineapple mealybug wilt-associated virus 1	180903	PRJNA28147	28147	ssRNA viruses	Closteroviridae	13.071	42.6	plants	1	7	7	2002/01/22	2009/11/04	Complete Genome
Tomato leaf curl Joydebpur betasatellite	436243	PRJNA28273	28273	Satellites	unclassified	1.37	41.6	plants	1	1	1	2008/01/01	2010/12/28	Complete Genome
Helicoverpa armigera granulovirus	489830	PRJNA28275	28275	dsDNA viruses, no RNA stage	Baculoviridae	169.794	40.8	invertebrates	1	179	179	2008/01/01	2011/07/20	Complete Genome
Pepper leaf curl virus satellite DNA beta	436242	PRJNA28283	28283	Satellites	unclassified	1.361	39.8	plants	1	1	1	2008/01/01	2010/12/28	Complete Genome
