#Species/genus	Genomes	Organism name	Chromosome RefSeq	Chromosome GenBank	Plasmid RefSeq	Plasmid GenBank	CODE	Comment	PubmedIDs	External link
Caldicellulosiruptor owensensis	1	Caldicellulosiruptor owensensis OL	NC_014657	CP002216			COM		21216991	
Caldicellulosiruptor saccharolyticus	1	Caldicellulosiruptor saccharolyticus DSM 8903	NC_009437	CP000679			COM		18776029	
	0	Caldicellulosiruptor sp. F32					Default			
Caldilinea aerophila	1	Caldilinea aerophila DSM 14535 = NBRC 104270	NC_017079	AP012337			Default			
Caldimonas manganoxidans	1	Caldimonas manganoxidans ATCC BAA-369	NZ_ARLH00000000	ARLH00000000			Default			
Caldisericum exile	1	Caldisericum exile AZM16c01	NC_017096	AP012051			Default			
Caldisphaera lagunensis	1	Caldisphaera lagunensis DSM 15908	NC_019791	CP003378			Default			
Calditerrivibrio nitroreducens	1	Calditerrivibrio nitroreducens DSM 19672	NC_014758	CP002347	NC_014749	CP002348	COM		21475587	
Caldithrix abyssi	1	Caldithrix abyssi DSM 13497	NZ_AGCQ00000000,NZ_CM001402	AGCQ00000000,CM001402			Default			
Caldivirga maquilingensis	1	Caldivirga maquilingensis IC-167	NC_009954	CP000852			COM			
Caloramator australicus	1	Caloramator australicus RC3	NZ_CAKP00000000	CAKP00000000			Default			
Calothrix	3	Calothrix sp. PCC 7507	NC_019682	CP003943			Default			
Caminibacter mediatlanticus	1	Caminibacter mediatlanticus TB-2	NZ_ABCJ00000000	ABCJ00000000			Default			
	0	Campylobacter coli					Default			
Campylobacter concisus	8	Campylobacter concisus 13826	NC_009802	CP000792	NC_009795 ... (2)	CP000793 ... (2)	COM			
Campylobacter curvus	2	Campylobacter curvus 525.92	NC_009715	CP000767			COM			
Campylobacter fetus	5	Campylobacter fetus subsp. fetus 82-40	NC_008599	CP000487			COM			
Campylobacter gracilis	1	Campylobacter gracilis RM3268	NZ_ACYG00000000	ACYG00000000			Default			
Campylobacter hominis	1	Campylobacter hominis ATCC BAA-381	NC_009714	CP000776	NC_009713	CP000775	COM			
Campylobacter jejuni	94	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	NC_002163	AL111168			FGS/MOD/UPR	This is the first Campylobacter jejuni genome. Campylobacter jejuni subsp. jejuni NCTC 11168 has been a widely used to study C. jejuni pathogenesis.  It has a reference proteome in UniProtKB database.	10688204,17565669	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:9
Campylobacter lari	1	Campylobacter lari RM2100	NC_012039	CP000932	NC_012040	CP000933	COM		18713059	
Campylobacter rectus	1	Campylobacter rectus RM3267	NZ_ACFU00000000	ACFU00000000			Default			
Campylobacter showae	3	Campylobacter showae RM3277	NZ_ACVQ00000000	ACVQ00000000			Default			
Campylobacter	29	Campylobacter sp. 03-427	NC_022759	CP006833			Default		24336365	
Campylobacter upsaliensis	2	Campylobacter upsaliensis RM3195	NZ_AAFJ00000000	AAFJ00000000			Default			
Campylobacter ureolyticus	2	Campylobacter ureolyticus DSM 20703	NZ_ARGD00000000	ARGD00000000			Default			
	0	candidate division SR1 bacterium MGEHA					Default			
candidate division TG3 bacterium ACht1	1	candidate division TG3 bacterium ACht1					Default			
candidate division TM7 single-cell isolate TM7a	1	candidate division TM7 single-cell isolate TM7a					Default			
candidate division TM7 single-cell isolate TM7b	1	candidate division TM7 single-cell isolate TM7b					Default			
candidate division TM7 single-cell isolate TM7c	1	candidate division TM7 single-cell isolate TM7c	NZ_ABBX00000000	ABBX00000000			Default			
Candidatus Accumulibacter phosphatis	1	Candidatus Accumulibacter phosphatis clade IIA str. UW-1	NC_013194	CP001715	NC_013190 ... (3)	CP001716 ... (3)	COM			
Candidatus Amoebophilus asiaticus	1	Candidatus Amoebophilus asiaticus 5a2	NC_010830	CP001102			COM		20023027	
Candidatus Aquiluna	1	Candidatus Aquiluna sp. IMCC13023	NZ_AJKR00000000	AJKR00000000			Default			
Candidatus Arthromitus	11	Candidatus Arthromitus sp. SFB-mouse-Japan	NC_015913	AP012202			COM		21791478	
Candidatus Arthromitus	11	Candidatus Arthromitus sp. SFB-mouse-Yit	NC_017294	AP012209			COM		21925114	
Candidatus Arthromitus	11	Candidatus Arthromitus sp. SFB-rat-Yit	NC_016012	AP012210			COM		21925114	
Candidatus Atelocyanobacterium thalassa	1	Candidatus Atelocyanobacterium thalassa	NC_013771	CP001842			COM		19008448,20173737	
Candidatus Azobacteroides pseudotrichonymphae	1	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	NC_011565	AP010656	NC_011561 ... (4)	AP010657 ... (4)	COM		19008447	
Candidatus Blochmannia chromaiodes	1	Candidatus Blochmannia chromaiodes str. 640	NC_020075	CP003903			Default		23475937	
Candidatus Blochmannia floridanus	1	Candidatus Blochmannia floridanus	NC_005061	BX248583			COM		12886019,16401340	
Candidatus Blochmannia pennsylvanicus	1	Candidatus Blochmannia pennsylvanicus str. BPEN	NC_007292	CP000016			COM		16077009	
Candidatus Blochmannia vafer	1	Candidatus Blochmannia vafer str. BVAF	NC_014909	CP002189			COM		21126349	
Candidatus Burkholderia kirkii	1	Candidatus Burkholderia kirkii UZHbot1	NZ_CAFE00000000	CAFE00000000			Default			
Candidatus Caldiarchaeum subterraneum	1	Candidatus Caldiarchaeum subterraneum		BA000048			COM		16309394,21169198	
Candidatus Carsonella ruddii	7	Candidatus Carsonella ruddii PV	NC_008512	AP009180			COM		17038615	
Candidatus Chloracidobacterium thermophilum	1	Candidatus Chloracidobacterium thermophilum B	NC_016024,NC_016025	CP002514,CP002515			COM		21951563	
Candidatus Chloracidobacterium thermophilum	1	Candidatus Chloracidobacterium thermophilum B		CP002514,CP002515			PRT		21951563	
Candidatus Cloacimonas acidaminovorans	1	Candidatus Cloacimonas acidaminovorans	NC_020449,NS_000195	CU466930			COM		18245282	
Candidatus Desulforudis audaxviator	1	Candidatus Desulforudis audaxviator MP104C	NC_010424	CP000860			COM		18845759	
Candidatus Endolissoclinum faulkneri	2	Candidatus Endolissoclinum faulkneri L2	NC_019566	CP003539			Default		23185008	
Candidatus Glomeribacter gigasporarum	1	Candidatus Glomeribacter gigasporarum	NZ_CAFB00000000	CAFB00000000			Default			
Candidatus Halobonum tyrrellensis	1	Candidatus Halobonum tyrrellensis G22	NZ_ASGZ00000000	ASGZ00000000			Default			
Candidatus Haloredivivus sp. G17	1	Candidatus Haloredivivus sp. G17					Default			
Candidatus Hamiltonella defensa	2	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	NC_012751	CP001277	NC_012752	CP001278	COM		19451630	
Candidatus Hodgkinia cicadicola	1	Candidatus Hodgkinia cicadicola Dsem	NC_012960	CP001226			COM		19609354	
Kinetoplastibacterium blastocrithidii	2	Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	NC_019814	CP003733			Default		23560078	
Candidatus Kinetoplastibacterium crithidii	2	Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)	NC_019815	CP003978			Default		23560078	
Candidatus Kinetoplastibacterium desouzaii	1	Candidatus Kinetoplastibacterium desouzaii TCC079E	NC_020294	CP003803			Default		23345457	
Candidatus Kinetoplastibacterium galatii	1	Candidatus Kinetoplastibacterium galatii TCC219	NC_020284	CP003806			Default		23345457	
Candidatus Kinetoplastibacterium oncopeltii	1	Candidatus Kinetoplastibacterium oncopeltii TCC290E	NC_020299	CP003805			Default		23345457	
Candidatus Korarchaeum cryptofilum	1	Candidatus Korarchaeum cryptofilum OPF8	NC_010482	CP000968			COM		18535141	
Candidatus Koribacter versatilis	1	Candidatus Koribacter versatilis Ellin345	NC_008009	CP000360			COM		19201974	
	0	Candidatus Kuenenia stuttgartiensis enrichment culture clone CH1					Default			
Candidatus Latescibacter anaerobius	1	Candidatus Latescibacter anaerobius SCGC AAA252-E07	NZ_AQSL00000000	AQSL00000000			Default			
Candidatus Liberibacter americanus	2	Candidatus Liberibacter americanus str. Sao Paulo	NC_022793	CP006604			Default		24200077	
Candidatus Liberibacter asiaticus	2	Candidatus Liberibacter asiaticus str. psy62	NC_012985	CP001677			COM		19589076,21784907	
Candidatus Liberibacter solanacearum	1	Candidatus Liberibacter solanacearum CLso-ZC1	NC_014774	CP002371			COM		21552483	
Candidatus Methanomassiliicoccus intestinalis	1	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	NC_021353	CP005934			Default		23846268	
Candidatus Methanomethylophilus alvus	1	Candidatus Methanomethylophilus alvus Mx1201	NC_020913	CP004049			Default		23209209	
Candidatus Methylomirabilis oxyfera	1	Candidatus Methylomirabilis oxyfera	NC_013260	FP565575			COM		20336137	
Candidatus Microgenomatus auricola	1	Candidatus Microgenomatus auricola SCGC AAA011-E14	NZ_AQYS00000000	AQYS00000000			Default			
Candidatus Microthrix parvicella	2	Candidatus Microthrix parvicella Bio17-1	NZ_AMPG00000000	AMPG00000000			Default			
Candidatus Midichloria mitochondrii	1	Candidatus Midichloria mitochondrii IricVA	NC_015722	CP002130			COM		21690562	
Candidatus Moranella endobia	2	Candidatus Moranella endobia PCIT	NC_015735	CP002243			COM		21835622	
Candidatus Mycoplasma haemolamae	1	Candidatus Mycoplasma haemolamae str. Purdue	NC_018219	CP003731			Default		23105057	
Candidatus Mycoplasma haemominutum	1	Candidatus Mycoplasma haemominutum 'Birmingham 1'	NC_021007	HE613254			Default			
Candidatus Nasuia deltocephalinicola	1	Candidatus Nasuia deltocephalinicola str. NAS-ALF	NC_021919	CP006059			Default		23918810	
Candidatus Nitrosoarchaeum limnia	2	Candidatus Nitrosoarchaeum limnia BG20	NZ_AHJG00000000	AHJG00000000			Default			
Candidatus Nitrosoarchaeum limnia	2	Candidatus Nitrosoarchaeum limnia SFB1	NZ_AEGP00000000,NZ_CM001158	AEGP00000000,CM001158			Default		21364937	
Candidatus Nitrosoarchaeum koreensis	2	Candidatus Nitrosopumilus koreensis AR1	NC_018655	CP003842			Default		23209206	
Candidatus Nitrosopumilus salaria	1	Candidatus Nitrosopumilus salaria BD31	NZ_AEXL00000000	AEXL00000000			Default			
Candidatus Nitrosopumilus sp. AR2	1	Candidatus Nitrosopumilus sp. AR2	NC_018656	CP003843			Default		23209211	
Candidatus Nitrososphaera gargensis	1	Candidatus Nitrososphaera gargensis Ga9.2	NC_018719	CP002408			Default		23057602	
Candidatus Nitrospira defluvii	1	Candidatus Nitrospira defluvii	NC_014355	FP929003			COM		20624973	
Candidatus Odyssella thessalonicensis	1	Candidatus Odyssella thessalonicensis L13	NZ_AEWF00000000	AEWF00000000			Default			
Candidatus Omnitrophus fodinae	1	Candidatus Omnitrophus fodinae SCGC AAA011-A17	NZ_ASOC00000000	ASOC00000000			Default			
Candidatus Paceibacter normanii	1	Candidatus Paceibacter normanii SCGC AAA255-P19	NZ_ASKX00000000	ASKX00000000			Default			
Candidatus Pelagibacter	2	Candidatus Pelagibacter sp. IMCC9063	NC_015380	CP002511			COM		21515764	
Candidatus Pelagibacter ubique	9	Candidatus Pelagibacter ubique HTCC1062	NC_007205	CP000084			COM/PRT		16109880,16267553	
Candidatus Photodesmus katoptron	1	Candidatus Photodesmus katoptron Akat1	NZ_AMSD00000000	AMSD00000000	NZ_AMSD01000003	AMSD01000003	Default			
Candidatus Phytoplasma australiense	2	Candidatus Phytoplasma australiense	NC_010544	AM422018			COM		18359806	
Candidatus Phytoplasma mali	1	Candidatus Phytoplasma mali	NC_011047	CU469464			COM		18582369	
Candidatus Phytoplasma solani	1	Candidatus Phytoplasma solani 284/09	NC_022588	FO393427			Default		24158016	
	0	Candidatus Phytoplasma sp. strains	NZ_AKIK00000000,NZ_AKIL00000000,NZ_AKIM00000000,NZ_AKIN00000000	AKIK00000000,AKIL00000000,AKIM00000000,AKIN00000000			Default			
	0	Candidatus Poribacteria sp. WGA-A3		ADFK00000000			Default			
Candidatus Portiera aleyrodidarum	5	Candidatus Portiera aleyrodidarum BT-B-HRs	NC_018507	CP003708			Default		22977066	
	0	Candidatus Prevotella conceptionensis 9403948					Default			
Candidatus Protochlamydia amoebophila	1	Candidatus Protochlamydia amoebophila UWE25	NC_005861	BX908798			COM		15073324	
Candidatus Puniceispirillum marinum	1	Candidatus Puniceispirillum marinum IMCC1322	NC_014010	CP001751			COM		20382761	
Candidatus Regiella insecticola	2	Candidatus Regiella insecticola LSR1	NZ_ACYF00000000	ACYF00000000	NZ_CM000957	CM000957	Default			
	0	Candidatus Rickettsia amblyommii					Default			
Candidatus Riesia pediculicola	1	Candidatus Riesia pediculicola USDA	NC_014109	CP001085	NC_013962	CP001086	COM			
Candidatus Ruthia magnifica	2	Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)	NC_008610	CP000488			COM		17303757	
Candidatus Saccharimonas aalborgensis	1	Candidatus Saccharimonas aalborgensis	NC_021219	CP005957			Default		23707974	
Candidatus Solibacter usitatus	1	Candidatus Solibacter usitatus Ellin6076	NC_008536	CP000473			COM			
Candidatus Stoquefichus massiliensis	1	Candidatus Stoquefichus massiliensis AP9					Default			
Candidatus Sulcia muelleri	6	Candidatus Sulcia muelleri GWSS	NC_010118	CP000770			COM		18048332	
Candidatus Symbiobacter mobilis	1	Candidatus Symbiobacter mobilis CR	NC_022576	CP004885			Default		24267588	
Candidatus Tremblaya phenacola	1	Candidatus Tremblaya phenacola PAVE	NC_021555	CP003982	NC_021553	CP003983	Default		23791183	
Candidatus Tremblaya princeps	2	Candidatus Tremblaya princeps PCIT	NC_015736	CP002244			COM		21835622	
Candidatus Uzinura diaspidicola	1	Candidatus Uzinura diaspidicola str. ASNER	NC_020135	CP003263			Default		23279075	
Calyptogena okutanii thioautotrophic gill symbiont	1	Candidatus Vesicomyosocius okutanii HA	NC_009465	AP009247			COM		17493812,21966992	
Candidatus Zinderia insecticola	1	Candidatus Zinderia insecticola CARI	NC_014497	CP002161			COM		20829280	
Capnocytophaga canimorsus	1	Capnocytophaga canimorsus Cc5	NC_015846	CP002113			COM		21762219,21914877	
Capnocytophaga cynodegmi	1	Capnocytophaga cynodegmi DSM 19736	NZ_ARAI00000000	ARAI00000000			Default			
Capnocytophaga gingivalis	1	Capnocytophaga gingivalis ATCC 33624	NZ_ACLQ00000000	ACLQ00000000			Default			
Capnocytophaga granulosa	1	Capnocytophaga granulosa ATCC 51502	NZ_ADDA00000000	ADDA00000000			Default			
Capnocytophaga ochracea	3	Capnocytophaga ochracea DSM 7271	NC_013162	CP001632			COM		21304645	
Capnocytophaga	14	Capnocytophaga sp. oral taxon 338 str. F0234	NZ_AEXX00000000	AEXX00000000			Default			
Capnocytophaga sputigena	2	Capnocytophaga sputigena ATCC 33612	NZ_ABZV00000000	ABZV00000000			Default			
Carboxydothermus hydrogenoformans	1	Carboxydothermus hydrogenoformans Z-2901	NC_007503	CP000141			COM		16311624	
Cardiobacterium hominis	1	Cardiobacterium hominis ATCC 15826	NZ_ACKY00000000	ACKY00000000			Default			
Cardiobacterium valvarum	1	Cardiobacterium valvarum F0432	NZ_AGCM00000000	AGCM00000000			Default			
Carnobacterium maltaromaticum	2	Carnobacterium maltaromaticum ATCC 35586	NZ_AGNS00000000	AGNS00000000			Default			
Carnobacterium	3	Carnobacterium sp. 17-4	NC_015391	CP002563	NC_015390	CP002564	COM		21551290	
Catellicoccus marimammalium	1	Catellicoccus marimammalium M35/04/3	NZ_AMYT00000000	AMYT00000000			Default			
Catelliglobosispora koreensis	1	Catelliglobosispora koreensis DSM 44566	NZ_ARBL00000000	ARBL00000000			Default			
Catenibacterium mitsuokai	1	Catenibacterium mitsuokai DSM 15897	NZ_ACCK00000000	ACCK00000000			Default			
Catenovulum agarivorans	2	Catenovulum agarivorans YM01	NZ_AJWM00000000	AJWM00000000			Default			
Catenulispora acidiphila	1	Catenulispora acidiphila DSM 44928	NC_013131	CP001700			COM		21304647	
Catonella morbi	1	Catonella morbi ATCC 51271					Default			
Caulobacter vibrioides	3	Caulobacter crescentus CB15	NC_002696	AE005673			FGS/MOD/UPR	This strain has a reference proteome in UniProtKB database.	11259647,16829582	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Caulobacter vibrioides	3	Caulobacter crescentus NA1000	NC_011916	CP001340			PRT		20472802	
Caulobacter segnis	1	Caulobacter segnis ATCC 21756	NC_014100	CP002008			COM			
Caulobacter	8	Caulobacter sp. K31	NC_010338	CP000927	NC_010333 ... (2)	CP000928 ... (2)	COM			
Cecembia lonarensis	1	Cecembia lonarensis LW9	NZ_AMGM00000000	AMGM00000000			Default			
Cedecea davisae	1	Cedecea davisae DSM 4568	NZ_ATDT00000000	ATDT00000000			Default			
Celeribacter baekdonensis	1	Celeribacter baekdonensis B30	NZ_AMRK00000000	AMRK00000000			Default			
Cellulomonas fimi	1	Cellulomonas fimi ATCC 484	NC_015514	CP002666			COM			
Cellulomonas flavigena	1	Cellulomonas flavigena DSM 20109	NC_014151	CP001964			COM/PRT		21304688	
Cellulomonas	3	Cellulomonas massiliensis JC225	NZ_CAHD00000000	CAHD00000000			Default			
Cellulophaga algicola	1	Cellulophaga algicola DSM 14237	NC_014934	CP002453			COM		21475589	
Cellulophaga lytica	1	Cellulophaga lytica DSM 7489	NC_015167	CP002534			COM		21677859	
	0	Cellulosimicrobium cellulans LMG 16121					Default			
Cellvibrio japonicus	1	Cellvibrio japonicus Ueda107	NC_010995	CP000934			COM		18556790	
Cellvibrio	1	Cellvibrio sp. BR	NZ_AICM00000000	AICM00000000			Default			
[Cellvibrio] gilvus	1	[Cellvibrio] gilvus ATCC 13127	NC_015671	CP002665			COM			
Cenarchaeum symbiosum	1	Cenarchaeum symbiosum A	NC_014820	DP000238			PRT/COM		17114289	
	0	Cenarchaeum symbiosum B					Default			
Centipeda periodontii	1	Centipeda periodontii DSM 2778	NZ_AFHQ00000000	AFHQ00000000			Default			
Cesiribacter andamanensis	1	Cesiribacter andamanensis AMV16	NZ_AODQ00000000	AODQ00000000			Default			
Cetobacterium somerae	1	Cetobacterium somerae ATCC BAA-474	NZ_AXZF00000000	AXZF00000000			Default			
Chamaesiphon minutus	1	Chamaesiphon minutus PCC 6605	NC_019697	CP003600	NC_019698 ... (2)	CP003601 ... (2)	Default			
Chelativorans	2	Chelativorans sp. BNC1	NC_008254	CP000390	NC_008242 ... (3)	CP000389 ... (3)	COM			
Chelatococcus	1	Chelatococcus sp. GW1	NZ_ALIQ00000000	ALIQ00000000			Default			
	0	Chinaberry witches'-broom phytoplasma					Default			
Chitiniphilus shinanonensis	1	Chitiniphilus shinanonensis DSM 23277	NZ_ARGN00000000	ARGN00000000			Default			
Chitinophaga pinensis	1	Chitinophaga pinensis DSM 2588	NC_013132	CP001699			COM		21304681	
Chlamydia gallinacea	1	Chlamydia gallinacea 08-1274/3	NZ_AWUS00000000	AWUS00000000			Default			
Chlamydia ibidis	1	Chlamydia ibidis 10-1398/6	NZ_APJW00000000	APJW00000000			Default			
Chlamydia muridarum	4	Chlamydia muridarum str. Nigg	NC_002620	AE002160	NC_002182	AE002162	COM		10684935	
Chlamydia psittaci	58	Chlamydia psittaci 02DC15	NC_017292	CP002806			Default		21705611	
Chlamydia psittaci	58	Chlamydia psittaci 6BC	NC_015470	CP002549	NC_015217	CP002550	COM		21441521	
Chlamydia trachomatis	80	Chlamydia trachomatis 434/Bu	NC_010287	AM884176			CLI	C. trachomatis serovar L2 strain 434/Bu was first isolated from the bubo of a patient with Lymphogranuloma venereum (LGV). It is much more invasive than strains of Trachoma serovars, and widely used in virulence and evolutionary studies of C. trachomatis.	18032721	http://stdgen.northwestern.edu/stdgen/bacteria/chlamy/
Chlamydia trachomatis	80	Chlamydia trachomatis D/UW-3/CX	NC_000117	AE001273			TYS/UPR	Chlamydia trachomatis D/UW-3/CX is the prototype strain of trachoma biovar, and is serologically related to common isolates from the genital tract. It has a reference proteome in UniProtKB database.	9784136	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Chlamydophila abortus	2	Chlamydophila abortus S26/3	NC_004552	CR848038			COM		15837807	
Chlamydophila caviae	1	Chlamydophila caviae GPIC	NC_003361	AE015925	NC_004720	AE015926	COM		12682364	
Chlamydophila felis	1	Chlamydophila felis Fe/C-56	NC_007899	AP006861	NC_007900	AP006862	COM		16766509	
Chlamydia pecorum	8	Chlamydophila pecorum E58	NC_015408	CP002608			COM		21571992	
Chlamydia pneumoniae	6	Chlamydophila pneumoniae CWL029	NC_000922	AE001363			CLI/MOD	Chlamydophila pneumoniae CWL029 is the most common strain endemic in the US and was widely used in biomedical research.	10192388	
Chlorobaculum parvum	1	Chlorobaculum parvum NCIB 8327	NC_011027	CP001099			COM			
Chlorobium chlorochromatii	1	Chlorobium chlorochromatii CaD3	NC_007514	CP000108			COM			
Chlorobium ferrooxidans	1	Chlorobium ferrooxidans DSM 13031	NZ_AASE00000000	AASE00000000			Default			
Chlorobium limicola	1	Chlorobium limicola DSM 245	NC_010803	CP001097			COM			
Pelodictyon luteolum	1	Chlorobium luteolum DSM 273	NC_007512	CP000096			COM			
Chlorobium phaeobacteroides	2	Chlorobium phaeobacteroides DSM 266	NC_008639	CP000492			COM			
Chlorobium phaeovibrioides	1	Chlorobium phaeovibrioides DSM 265	NC_009337	CP000607			COM			
Chlorobaculum tepidum	1	Chlorobium tepidum TLS	NC_002932	AE006470			FGS/UPR	This is the first genome sequence from the phylum Chlorobia. Chlorobium tepidum TLS has a reference proteome in UniProtKB database.	12093901	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Chloroflexi bacterium oral taxon 439	3	Chloroflexi bacterium oral taxon 439 isolate Chl1-2	NZ_APVK00000000	APVK00000000			Default			
Chloroflexus aggregans	1	Chloroflexus aggregans DSM 9485	NC_011831	CP001337			COM			
Chloroflexus aurantiacus	1	Chloroflexus aurantiacus J-10-fl	NC_010175	CP000909			UPR	This strain has a reference proteome in UniProtKB database.		http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Chloroflexus	2	Chloroflexus sp. Y-400-fl	NC_012032	CP001364			COM			
Chlorogloeopsis fritschii	1	Chlorogloeopsis fritschii PCC 6912	NZ_AJLN00000000	AJLN00000000			Default			
Chlorogloeopsis	1	Chlorogloeopsis fritschii PCC 9212	NZ_AJLM00000000	AJLM00000000			Default			
Chloroherpeton thalassium	1	Chloroherpeton thalassium ATCC 35110	NC_011026	CP001100			COM			
Chondromyces apiculatus	1	Chondromyces apiculatus DSM 436	NZ_AKXT00000000	AKXT00000000			Default			
	0	Chromobacterium sp. C-61					Default			
Chromobacterium violaceum	1	Chromobacterium violaceum ATCC 12472	NC_005085	AE016825			COM		14500782	
Chromohalobacter salexigens	1	Chromohalobacter salexigens DSM 3043	NC_007963	CP000285			COM		22675587	
Chroococcidiopsis thermalis	1	Chroococcidiopsis thermalis PCC 7203	NC_019695	CP003597	NC_019696 ... (2)	CP003598 ... (2)	Default			
Chryseobacterium gleum	1	Chryseobacterium gleum ATCC 35910	NZ_ACKQ00000000	ACKQ00000000			Default			
Chryseobacterium	1	Chryseobacterium sp. CF314	NZ_AKJY00000000	AKJY00000000			Default			
Chryseobacterium taeanense	1	Chryseobacterium taeanense ARB2	NZ_AMPI00000000	AMPI00000000			Default			
Chthoniobacter flavus	1	Chthoniobacter flavus Ellin428	NZ_ABVL00000000	ABVL00000000			Default			
Chthonomonas calidirosea	1	Chthonomonas calidirosea T49	NC_021487	HF951689			Default			
Citreicella	2	Citreicella sp. SE45	NZ_ACNW00000000	ACNW00000000			Default			
Citricoccus	1	Citricoccus sp. CH26A	NZ_AFXQ00000000	AFXQ00000000			Default			
	0	Citrobacter freundii					Default			
Citrobacter koseri	1	Citrobacter koseri ATCC BAA-895	NC_009792	CP000822	NC_009793 ... (2)	CP000823 ... (2)	COM			
Citrobacter rodentium	1	Citrobacter rodentium ICC168	NC_013716	FN543502	NC_013717 ... (3)	FN543503 ... (3)	COM		19897651	
Citrobacter	6	Citrobacter sp. 30_2	NZ_ACDJ00000000	ACDJ00000000			Default			
Citrobacter youngae	1	Citrobacter youngae ATCC 29220	NZ_ABWL00000000	ABWL00000000			Default			
Citromicrobium bathyomarinum	1	Citromicrobium bathyomarinum JL354	NZ_ADAE00000000	ADAE00000000			Default			
Citromicrobium	1	Citromicrobium sp. JLT1363	NZ_AEUE00000000	AEUE00000000			Default			
Clavibacter michiganensis	3	Clavibacter michiganensis subsp. michiganensis NCPPB 382	NC_009480	AM711867	NC_009478 ... (2)	AM711865 ... (2)	COM		18192381	
Clostridiales bacterium 1_7_47FAA	1	Clostridiales bacterium 1_7_47FAA	NZ_ABQR00000000	ABQR00000000			Default			
Clostridiales bacterium oral taxon 876	1	Clostridiales bacterium oral taxon 876 str. F0540	NZ_AWSZ00000000	AWSZ00000000			Default			
Clostridiales genomosp. BVAB3	1	Clostridiales genomosp. BVAB3 str. UPII9-5	NC_013895	CP001850			COM			
Clostridium acetobutylicum	3	Clostridium acetobutylicum ATCC 824	NC_003030	AE001437	NC_001988	AE001438	MOD/UPR	Clostridium acetobutylicum ATCC 824 has been widely used in bioengineering and  it has a reference proteome in UniProtKB database.	11466286	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
Clostridium acidurici	1	Clostridium acidurici 9a	NC_018664	CP003326	NC_018657	CP003327	Default		23240052	
Clostridium asparagiforme	1	Clostridium asparagiforme DSM 15981	NZ_ACCJ00000000	ACCJ00000000			Default			
Clostridium autoethanogenum	2	Clostridium autoethanogenum DSM 10061	NC_022592	CP006763			Default			
[Clostridium] bartlettii	2	Clostridium bartlettii DSM 16795	NZ_ABEZ00000000	ABEZ00000000			Default			
Clostridium beijerinckii	3	Clostridium beijerinckii NCIMB 8052	NC_009617	CP000721			COM		21962126,22433311	
[Clostridium] bifermentans	4	Clostridium bifermentans ATCC 19299	NZ_AVNB00000000	AVNB00000000			Default			
Clostridium bolteae	8	Clostridium bolteae ATCC BAA-613	NZ_ABCC00000000	ABCC00000000			Default			
Clostridium botulinum	36	Clostridium botulinum A str. ATCC 3502	NC_009495	AM412317	NC_009496	AM412318	COM		17519437	
Clostridium botulinum	36	Clostridium botulinum A str. Hall	NC_009698	CP000727			UPR	This strain has a reference proteome in UniProtKB database.	18060065	http://www.uniprot.org/taxonomy/?query=reference:yes%20ancestor:10
	0	Clostridium butyricum					Default			
	0	Clostridium carboxidivorans P7					Default			
Clostridium celatum	1	Clostridium celatum DSM 1785	NZ_AMEZ00000000	AMEZ00000000			Default			
Clostridium cellulolyticum	1	Clostridium cellulolyticum H10	NC_011898	CP001348			COM			
Clostridium cellulovorans	2	Clostridium cellulovorans 743B	NC_014393	CP002160			COM			
	0	Clostridium chauvoei JF4335			NC_021737	HG323816	Default			
Clostridium citroniae	2	Clostridium citroniae WAL-17108	NZ_ADLJ00000000	ADLJ00000000			Default			
Clostridium clariflavum	2	Clostridium clariflavum DSM 19732	NC_016627	CP003065			Default		22675603	
Clostridium clostridioforme	11	Clostridium clostridioforme 2_1_49FAA	NZ_ADLL00000000	ADLL00000000			Default			
Clostridium colicanis	1	Clostridium colicanis 209318	NZ_AGYT00000000	AGYT00000000			Default			
[Clostridium] difficile	246	Clostridium difficile 630	NC_009089	AM180355	NC_008226	AM180356	FGS/CLI	This is the first Clostridium difficile genome. Clostridium difficile 630 is a fully virulent, highly transmissible, multi-drug resistant strain. It was originally isolated from a patient with severe PMC that had spread to other patients. This strain has been extensively studied in the laboratories.	16804543,21349987,24568651	
	0	Clostridium diolis DSM 15410					Default			
[Clostridium] glycolicum	3	Clostridium glycolicum ATCC 14880 = DSM 1288	NZ_ARES00000000	ARES00000000			Default			
Clostridium hathewayi	3	Clostridium hathewayi DSM 13479	NZ_ACIO00000000	ACIO00000000			Default			
[Clostridium] hiranonis	1	Clostridium hiranonis DSM 13275	NZ_ABWP00000000	ABWP00000000			Default			
